entry_ts_utc,exit_ts_utc,symbol,side,entry_price,exit_price,qty,entry_atr_abs,stop_k,risk_usdt_planned,pnl_quote_expost,fees_quote_actual,R_atr_expost,R_usd_expost,order_errors,signals_emitted
2024-01-01T00:00:00,2024-01-01T03:15:00,TEST00/USDT,long,98.77757,97.36082,0.87534,1.68688,2.55789,377.69748,-124.01391,1.40805,-0.32834,-0.32834,0,1
2024-01-01T01:00:00,2024-01-01T02:09:00,TEST01/USDT,short,99.00772,99.83603,1.31509,1.29664,2.74141,467.46528,-108.93075,1.17339,-0.23302,-0.23302,0,1
2024-01-01T02:00:00,2024-01-01T04:33:00,TEST02/USDT,long,91.27635,94.95085,1.40647,1.6621,2.50533,585.67161,516.80765,5.35204,0.88242,0.88242,0,1
2024-01-01T03:00:00,2024-01-01T06:16:00,TEST03/USDT,short,93.89277,91.8054,0.92343,1.37338,2.03504,258.08813,192.755,2.12268,0.74686,0.74686,0,1
2024-01-01T04:00:00,2024-01-01T05:48:00,TEST04/USDT,long,97.40919,98.7001,0.90394,1.37564,2.15158,267.54783,116.68981,1.31737,0.43615,0.43615,0,1
2024-01-01T05:00:00,2024-01-01T07:10:00,TEST00/USDT,short,106.65356,107.41265,1.46581,1.56021,2.24989,514.5441,-111.26682,1.20592,-0.21624,-0.21624,0,1
2024-01-01T06:00:00,2024-01-01T08:58:00,TEST01/USDT,long,92.79505,94.47747,1.42954,1.15993,2.00589,332.60879,240.50916,2.5722,0.7231,0.7231,0,1
2024-01-01T07:00:00,2024-01-01T09:14:00,TEST02/USDT,short,101.37482,99.88847,1.33472,1.11184,2.09162,310.39586,198.38693,2.14862,0.63914,0.63914,0,1
2024-01-01T08:00:00,2024-01-01T10:48:00,TEST03/USDT,short,101.07159,99.67957,0.82465,1.44737,2.24316,267.73828,114.793,1.25921,0.42875,0.42875,0,1
2024-01-01T09:00:00,2024-01-01T12:31:00,TEST04/USDT,short,94.67879,93.20176,1.03488,1.04664,2.22511,241.01111,152.85389,1.69612,0.63422,0.63422,0,1
2024-01-01T10:00:00,2024-01-01T12:54:00,TEST00/USDT,short,98.12774,95.54391,0.81817,1.65122,2.13358,288.24112,211.40053,2.23329,0.73342,0.73342,0,1
2024-01-01T11:00:00,2024-01-01T12:16:00,TEST01/USDT,short,100.0209,98.64135,1.15693,1.12185,2.55706,331.87931,159.60317,1.74057,0.48091,0.48091,0,1
2024-01-01T12:00:00,2024-01-01T13:55:00,TEST02/USDT,short,91.753,90.3602,1.52686,1.0944,2.76952,462.78863,212.66155,2.32199,0.45952,0.45952,0,1
2024-01-01T13:00:00,2024-01-01T16:16:00,TEST03/USDT,long,104.3378,103.62404,0.87711,1.35949,2.21779,264.45529,-62.60526,0.70641,-0.23673,-0.23673,0,1
2024-01-01T14:00:00,2024-01-01T15:44:00,TEST04/USDT,short,101.58439,102.28821,1.40682,1.14142,2.68529,431.1947,-99.01434,1.13424,-0.22963,-0.22963,0,1
2024-01-01T15:00:00,2024-01-01T17:38:00,TEST00/USDT,long,102.99693,104.23686,0.83329,1.06756,2.33265,207.50862,103.32201,1.1049,0.49792,0.49792,0,1
2024-01-01T16:00:00,2024-01-01T17:05:00,TEST01/USDT,short,101.75289,99.71459,1.26485,1.13647,2.7401,393.88015,257.81397,2.63156,0.65455,0.65455,0,1
2024-01-01T17:00:00,2024-01-01T20:51:00,TEST02/USDT,long,99.64607,102.54473,1.18933,1.62619,2.06618,399.61424,344.74555,3.58321,0.8627,0.8627,0,1
2024-01-01T18:00:00,2024-01-01T20:17:00,TEST03/USDT,short,95.33951,92.9064,1.15113,1.26526,2.41654,351.96202,280.08263,2.98525,0.79578,0.79578,0,1
2024-01-01T19:00:00,2024-01-01T20:12:00,TEST04/USDT,short,101.08072,99.05013,1.02499,1.08686,2.53779,282.71461,208.13358,2.24663,0.7362,0.7362,0,1
2024-01-01T20:00:00,2024-01-01T21:06:00,TEST00/USDT,long,108.32024,110.23815,1.24388,1.18417,2.02993,299.00244,238.56623,2.5569,0.79787,0.79787,0,1
